"key","doc_count","corporal","death","imprison","miscPunish","noPunish","transport"
"1827","1765","123","180","734","60","39","704"
"1828","1704","109","144","687","51","38","740"
"1829","1632","115","116","526","48","41","837"
"1830","1637","79","108","479","59","63","898"
"1831","1785","73","129","737","51","75","758"
"1832","1973","59","101","750","64","83","961"
"1833","1173","20","80","386","10","29","604"
"1834","1393","14","34","657","1","42","669"
"1835","1731","28","57","894","4","33","737"
"1836","1961","34","45","1048","10","31","814"
"1837","2086","32","46","1190","6","33","782"
"1838","2279","29","5","1434","5","33","793"
"1839","2362","42","14","1523","10","37","778"
"1840","2330","30","5","1472","9","38","812"
"1841","2372","36","5","1653","9","55","657"
"1842","2574","46","7","1886","9","59","616"
"1843","2521","57","7","1863","14","40","614"
"1844","2012","19","6","1530","10","44","427"
"1845","1730","12","7","1284","12","44","404"
"1846","1771","21","5","1337","11","49","377"
"1847","2159","35","7","1634","32","67","440"
"1848","1985","44","9","1482","29","37","492"
"1849","1637","29","6","1226","17","35","375"
"1850","1588","30","3","1197","14","37","356"
"1851","1449","24","3","1113","9","44","292"
"1852","899","6","3","714","6","33","152"
"1853","899","0","7","720","3","39","137"
"1854","1037","1","2","944","21","47","23"
"1855","786","0","7","695","5","46","25"
"1856","912","0","11","808","8","38","40"
"1857","917","0","5","854","10","29","21"
"1858","857","0","5","817","6","21","1"
"1859","779","0","8","728","9","21","0"
"1860","735","0","8","677","8","29","0"
"1861","762","0","7","699","9","26","0"
"1862","964","0","5","895","18","35","0"
"1863","922","1","2","865","21","31","0"
"1864","799","1","5","733","25","37","0"
"1865","818","2","3","746","13","40","0"
"1866","755","11","1","692","21","34","0"
"1867","772","12","3","708","10","36","0"
"1868","810","17","3","758","10","35","0"
"1869","768","16","3","714","25","31","0"
"1870","635","11","4","583","12","21","0"
"1871","587","8","2","545","14","25","0"
"1872","556","12","5","499","12","28","0"
"1873","500","6","0","447","10","38","0"
"1874","559","5","6","485","16","34","0"
"1875","537","5","5","475","11","38","0"
"1876","629","3","6","556","16","48","0"
"1877","601","3","5","543","13","38","0"
"1878","665","3","1","600","18","38","0"
"1879","723","6","6","650","29","29","0"
"1880","648","4","6","590","16","34","0"
"1881","660","4","2","579","22","46","0"
"1882","768","7","4","691","31","28","0"
"1883","752","13","5","654","27","38","0"
"1884","875","10","9","772","38","49","0"
"1885","728","6","6","629","40","49","0"
"1886","829","5","1","714","43","65","0"
"1887","803","7","3","671","40","87","0"
"1888","774","8","6","669","32","61","0"
"1889","671","13","0","586","32","38","0"
"1890","638","8","6","554","45","32","0"
"1891","684","4","3","565","45","64","0"
"1892","778","3","6","653","72","50","0"
"1893","760","10","5","588","86","67","0"
"1894","692","10","2","579","53","55","0"
"1895","675","18","2","545","66","51","1"
"1896","688","13","8","540","60","75","0"
"1897","578","7","2","447","46","80","0"
"1898","628","21","8","495","41","82","0"
"1899","587","19","10","466","36","79","0"
"1900","558","2","6","485","33","24","0"
"1901","647","10","7","554","54","23","0"
"1902","651","7","9","521","54","41","0"
"1903","697","5","6","593","64","23","0"
"1904","676","4","7","559","71","32","0"
"1905","614","1","10","493","65","31","0"
"1906","654","1","3","574","71","23","0"
"1907","639","1","4","555","75","18","0"
"1908","621","0","6","540","69","22","0"
"1909","686","1","8","567","102","39","0"
"1910","661","0","6","565","85","25","0"
"1911","657","0","9","543","105","41","0"
"1912","663","1","8","550","93","39","0"
"1913","247","3","0","220","35","8","0"
